,Activation Function,nLayer,nHiddenNeuron,N Iteration,Loss,RMSE,RelErr,Pearson Corr,Time Elapsed
0,tanh,1,1,118,0.31533211341420664,0.783079377960233,0.999052672182146,0.05015052795516559,0.43929481506347656
1,tanh,1,2,85,0.3173777007865542,0.785109245648044,1.0042387955159695,0.044387581424687315,0.40544795989990234
2,tanh,1,3,221,0.2999522146521302,0.76833331363654,0.9617808800487773,0.1978464231407235,0.8341319561004639
3,tanh,1,4,292,0.2992578813580631,0.7675641441371821,0.9598561887303981,0.20357385194097677,1.137714147567749
4,tanh,1,5,206,0.30014169552798176,0.7685956443570557,0.9624377505468734,0.1986699123978676,0.843228816986084
5,tanh,2,1,125,0.31553620523303527,0.783532434108009,1.0002090246621123,0.05266538302803618,0.6229720115661621
6,tanh,2,2,97,0.315328702634997,0.7831481711035345,0.9992282124771333,0.050387619994524485,0.5292670726776123
7,tanh,2,3,70,0.31499796833609506,0.7833387649748217,0.9997146337055791,0.02170411581871677,0.3781890869140625
8,tanh,2,4,62,0.3147206289234413,0.7824071777401085,0.997338222260634,0.05381238373220904,0.36490392684936523
9,tanh,2,5,66,0.31514937830139905,0.7827786371741086,0.9982854493447485,0.043069796986000455,0.40416908264160156
10,tanh,3,1,106,0.3155550943041755,0.7835662899774408,1.000295463145744,0.05079051406764694,0.654545783996582
11,tanh,3,2,77,0.31550963959267514,0.7833515682880988,0.9997473137281127,0.030917965412143363,0.5277819633483887
12,tanh,3,3,70,0.3152464997072601,0.782909843506716,0.9986201348963949,0.052923467541131905,0.4722731113433838
13,tanh,3,4,65,0.31544618865230545,0.7833353724527929,0.999705974497776,0.05531691960432784,0.4654059410095215
14,tanh,3,5,63,0.3154045054597091,0.7832606548573706,0.9995152718516556,0.030753164529941163,0.49004316329956055
15,tanh,4,1,174,0.3155648180162011,0.7835669976418036,1.0002972699457051,0.054264075236291905,1.306441068649292
16,tanh,4,2,78,0.315549966774727,0.7835317843488349,1.0002073657780841,0.013610125148253572,0.6479709148406982
17,tanh,4,3,82,0.3155351497142769,0.783525506493875,1.0001913380131802,0.0034434394573788414,0.6872949600219727
18,tanh,4,4,66,0.31551080909514845,0.7834359932676126,0.9999628189958858,0.04998070688644822,0.5818607807159424
19,tanh,4,5,42,0.314748728376034,0.7826540671737967,0.9979677438839673,0.059832074469460796,0.4161851406097412
20,tanh,5,1,142,0.3155666693749828,0.7835821319593695,1.0003359110900865,0.1940099300389375,1.254729986190796
21,tanh,5,2,72,0.3155505886135017,0.7835256433945083,1.0001916875278762,0.0001496110401403852,0.6909518241882324
22,tanh,5,3,91,0.31555081042490185,0.7835288556226804,1.0001998885370686,0.02067844512026198,0.8888709545135498
23,tanh,5,4,78,0.31554939036470214,0.7835236950564756,1.0001867133216116,0.024386048928807243,0.8292250633239746
24,tanh,5,5,52,0.3155357293218343,0.7835112294857371,1.000154888377132,-0.0006436003780331517,0.5948829650878906
25,tanh,6,1,134,0.31555617013439174,0.7835631699329939,1.000287497106032,0.045077737855740936,1.349133014678955
26,tanh,6,2,107,0.31554805083074383,0.7835376499462364,1.000222341139142,0.0420112573354923,1.1747541427612305
27,tanh,6,3,76,0.3155467329665885,0.783522182170936,1.0001828508562796,0.013874168965070512,0.8574769496917725
28,tanh,6,4,57,0.31554842058208765,0.7834998838242168,1.0001259230317838,0.0415032721819759,0.7164762020111084
